1|580117\6255|1|1980-01-17 00:00:00.0|1995-01-17 00:00:00.0|
2|930615\1288|9|2013-06-15 00:00:00.0||
3|630809\1564|9|1984-08-09 00:00:00.0|1998-08-09 00:00:00.0|
4|700530\5719|9|1996-05-30 00:00:00.0|2008-05-30 00:00:00.0|
5|720420\4041|9|1999-04-20 00:00:00.0|2004-04-20 00:00:00.0|
6|905411\9692|9|2009-04-11 00:00:00.0|2017-04-11 00:00:00.0|
7|520218\2979|9|1972-02-18 00:00:00.0|1984-02-18 00:00:00.0|
8|505514\8309|9|1974-05-14 00:00:00.0||
9|885928\2300|9|2009-09-28 00:00:00.0||
10|756120\1261|9|1997-11-20 00:00:00.0||
