900621\3066,Izidor,Peters,1990-06-21,new t_adresa(null,null,null));
525223\2372,Eliska,Schulze,1952-02-23,new t_adresa(null,null,null));
720228\7318,Rene,Weber,1972-02-28,new t_adresa(null,null,null));
826129\8316,Liliana,Bauer,1982-11-29,new t_adresa(null,null,null));
510405\5450,Rudolf,Wolf,1951-04-05,new t_adresa(null,null,null));
895625\8963,Filomena,Zimmermann,1989-06-25,new t_adresa(null,null,null));
820708\5030,Vavrinec,Lang,1982-07-08,new t_adresa(null,null,null));
845806\4977,Ivica,Schmidt,1984-08-06,new t_adresa(null,null,null));
565413\9730,Denisa,Peters,1956-04-13,new t_adresa(null,null,null));
850931\6491,Ferdinand,Kohler,1985-09-31,new t_adresa(null,null,null));
885302\3933,Judita,Schwarz,1988-03-02,new t_adresa(null,null,null));
660603\1096,Ctibor,Hartmann,1966-06-03,new t_adresa(null,null,null));
550309\3697,Urban,Hoffmann,1955-03-09,new t_adresa(null,null,null));
806116\6929,Paulina,Hoffmann,1980-11-16,new t_adresa(null,null,null));
881120\8299,Blahoslav,Schroder,1988-11-20,new t_adresa(null,null,null));
546127\4518,Eugenia,Weiss,1954-11-27,new t_adresa(null,null,null));
705114\7553,Martina,Herrmann,1970-01-14,new t_adresa(null,null,null));
540601\9176,Klement,Meier,1954-06-01,new t_adresa(null,null,null));
690413\7598,Albin,Mayer,1969-04-13,new t_adresa(null,null,null));
516207\2693,Hilda,Schneider,1951-12-07,new t_adresa(null,null,null));
920802\7149,Sergej,Zimmermann,1992-08-02,new t_adresa(null,null,null));
875625\5817,Melania,Muller,1987-06-25,new t_adresa(null,null,null));
560412\3740,Bohus,Schneider,1956-04-12,new t_adresa(null,null,null));
730724\6412,Eduard,Meyer,1973-07-24,new t_adresa(null,null,null));
805623\1473,Andrea,Schmitz,1980-06-23,new t_adresa(null,null,null));
885106\6208,Emilia,Kruger,1988-01-06,new t_adresa(null,null,null));
750213\8811,Vit,Huber,1975-02-13,new t_adresa(null,null,null));
655530\7625,Miroslava,Kohler,1965-05-30,new t_adresa(null,null,null));
775815\3203,Matilda,Koch,1977-08-15,new t_adresa(null,null,null));
755416\1089,Alzbeta,Becker,1975-04-16,new t_adresa(null,null,null));
615120\6487,Gertruda,Schmid,1961-01-20,new t_adresa(null,null,null));
711122\1926,Drahomir,Klein,1971-11-22,new t_adresa(null,null,null));
586212\1438,Beata,Hahn,1958-12-12,new t_adresa(null,null,null));
555511\7177,Zoja,Kaiser,1955-05-11,new t_adresa(null,null,null));
750426\1090,Ales,Schmitz,1975-04-26,new t_adresa(null,null,null));
550208\7144,Viktor,Hofmann,1955-02-08,new t_adresa(null,null,null));
935829\8233,Karolina,Peters,1993-08-29,new t_adresa(null,null,null));
610320\2239,Erik,Schwarz,1961-03-20,new t_adresa(null,null,null));
600913\5953,Mikulas,Werner,1960-09-13,new t_adresa(null,null,null));
680104\2560,Benjamin,Bauer,1968-01-04,new t_adresa(null,null,null));
526108\7510,Blanka,Herrmann,1952-11-08,new t_adresa(null,null,null));
836127\8803,Dusana,Fischer,1983-11-27,new t_adresa(null,null,null));
680620\5165,Bohus,Krause,1968-06-20,new t_adresa(null,null,null));
506009\2977,Svetlana,Muller,1950-10-09,new t_adresa(null,null,null));
520807\6707,Maros,Schwarz,1952-08-07,new t_adresa(null,null,null));
